Iteration      Convergence_norm
    1          0.4131224
    2          0.2351725
    3          0.1347920
    4          0.0973099
    5          0.0704083
    6          0.0520377
    7          0.0415074
    8          0.0332395
    9          0.0264179
   10          0.0209419
   11          0.0165862
   12          0.0131961
   13          0.0105542
   14          0.0084139
   15          0.0066930
   16          0.0053161
   17          0.0042182
   18          0.0033445
   19          0.0026505
   20          0.0020999
   21          0.0016632
   22          0.0013172
   23          0.0010430
   24          0.0008258
   25          0.0006538
   26          0.0005176
   27          0.0004098
   28          0.0003244
   29          0.0002568
   30          0.0002033
   31          0.0001610
   32          0.0001274
   33          0.0001009
   34          0.0000798
   35          0.0000632
   36          0.0000501
   37          0.0000396
   38          0.0000313
   39          0.0000249
   40          0.0000197
   41          0.0000156
   42          0.0000123
   43          0.0000097
